stock_owner,trade_date,deep_turnover,deep_volume,deep_contracts,deep_oi_sum,deep_avg_churn,deep_max_churn,deep_avg_notional_churn,deep_avg_iv,deep_avg_delta,day_total_turnover,deep_turnover_share,is_churning
US.MRK,2026-05-09,379479.0,437,1,1,437.0,437.0,34.070659005207396,25.651,-0.848461067,717878.0,0.5286121040065304,False
US.MRNA,2026-05-09,6972844.0,10669,5,64066,0.28776239833823164,1.0141592920353983,0.032715969224328054,83.3956,0.7714641926,28601147.0,0.24379595685445762,False
US.MRVL,2026-05-09,4406930.0,1315,6,19324,0.23905211265634715,0.6261682242990654,0.0445333493015946,47.387499999999996,0.5741548173333334,38923646.0,0.11321986640203233,False
US.MSFT,2026-05-09,16220585.0,2261,5,2051,1.713804827131884,2.095808383233533,0.3230252273115042,0.0,0.0,129249067.0,0.12549866220697747,False
US.MSTR,2026-05-09,12025398.0,3844,10,37973,0.20929849834908226,0.6400625978090767,0.03348543186330543,37.6868,0.49787980909999996,127809957.0,0.09408811552921499,False
US.MTSI,2026-05-09,3259468.0,402,2,2828,0.18765947729506652,0.27972027972027974,0.04411024785153281,68.8835,0.759280879,7506633.0,0.43421171649126844,False
US.MU,2026-05-09,576253481.0,46491,82,203181,2.2935915121532577,100.0,0.9033170131982112,94.12363414634146,0.7661089688292683,1709934710.0,0.33700320698209585,False
US.MXL,2026-05-09,1572690.0,553,1,0,553.0,553.0,1572690.0,185.94,-0.786578585,24655110.0,0.06378758804969842,True
US.NFLX,2026-05-09,11557709.0,7200,9,51691,0.47136888425607915,2.225,0.10747033886492645,34.24977777777778,-0.27223139855555556,24408691.0,0.47350794026603066,False
US.NIO,2026-05-09,430332.0,3313,1,18730,0.1768820074746396,0.1768820074746396,0.039274439744274234,69.751,0.737213054,430332.0,1.0,False
US.NKE,2026-05-09,555179.0,256,1,86,2.9767441860465116,2.9767441860465116,1.4625214697421522,0.0,0.0,1332550.0,0.416629019548985,True
US.NOW,2026-05-09,1884587.0,536,2,1159,0.46256327794651897,0.5734024179620034,0.1783894436928023,159.17000000000002,-0.901736322,10975311.0,0.1717114895423009,False
US.NSIT,2026-05-09,2398448.0,1774,1,4,443.5,443.5,71.56128416278793,47.812,0.726462538,4255826.0,0.5635681533972489,True
US.NVDA,2026-05-09,171522955.0,64343,59,962056,0.8652848002923693,17.625,0.13826658786424964,43.52218644067797,0.7268303767457627,891466361.0,0.1924054148353894,False
US.ON,2026-05-09,1902899.0,867,2,433,12.670733652312599,24.133333333333333,2.697305892461951,0.0,0.0,2708529.0,0.7025581044175639,True
US.ORCL,2026-05-09,13662148.0,5112,10,58035,28.12503726795044,210.0,111616.7596393442,48.6668,0.6760360219,94790088.0,0.14413055508504222,True
US.PANW,2026-05-09,2416641.0,1130,4,27254,0.05025129913944397,0.07784636488340192,0.005598989597820302,35.856,0.62887225425,24158143.0,0.10003422034549593,False
US.PENG,2026-05-09,1135446.0,2254,2,4766,0.46259760184015486,0.638525564803805,0.05379276888856353,52.7735,0.393711423,2906866.0,0.39060830461397256,False
US.PLTR,2026-05-09,2242154.0,912,4,12923,2.55378312814931,9.666666666666666,0.587106324944891,38.8615,-0.16612004274999997,77236068.0,0.029029882774457137,False
US.PPG,2026-05-09,960375.0,730,2,141,8.25626381724392,12.826086956521738,0.8508805285867487,60.167,0.931496009,960375.0,1.0,False
US.PYPL,2026-05-09,387692.0,510,1,1338,0.3811659192825112,0.3811659192825112,0.06386485739409532,38.184,0.764100672,387692.0,1.0,False
US.QCOM,2026-05-09,78306053.0,18950,24,81972,14.629765953228,202.0,46061.82623092563,68.57525,0.6137235375416666,305920326.0,0.25596878123096667,True
US.QQQ,2026-05-09,116545733.0,10655,16,188919,14.812166751200289,233.0,130085.16164072402,34.9138125,0.709777641125,1465873363.0,0.07950600368471257,True
US.RKLB,2026-05-09,86042891.0,65047,54,88933,2.54815752136113,26.5609756097561,0.37579137126016743,65.63587037037037,0.6087225027407407,187816693.0,0.4581216377822178,False
US.RNG,2026-05-09,460790.0,500,1,511,0.9784735812133072,0.9784735812133072,0.19762035568147265,37.899,0.986107135,460790.0,1.0,False
US.ROIV,2026-05-09,7762930.0,7324,1,7394,0.9905328644847173,0.9905328644847173,0.3676105957665728,191.027,0.830414723,7762930.0,1.0,False
US.SANM,2026-05-09,861540.0,428,1,1638,0.2612942612942613,0.2612942612942613,0.02117860664266946,71.022,0.809078452,5177542.0,0.166399422737662,False
US.SEZL,2026-05-09,1677258.0,600,2,2102,0.3827845298233218,0.5758157389635317,0.11938729363375179,53.956,0.9226707395,1677258.0,1.0,False
US.SHOP,2026-05-09,2746841.0,1711,3,2234,1.2074935580819581,2.3433734939759034,0.1469817744692775,63.23466666666667,-0.8131034223333332,7203809.0,0.38130397405039473,False
US.SLV,2026-05-09,2911930.0,1933,5,30344,2.867407255325575,7.818181818181818,0.7751803867628195,57.6674,0.8988938411999999,76128613.0,0.03825013861739475,False
US.SMCI,2026-05-09,6949882.0,14230,9,106833,0.5621021434337387,2.571238348868176,0.0922741623503296,54.156,0.6878184128888889,21017444.0,0.3306720836272955,False
US.SNDK,2026-05-09,121901976.0,7029,13,7189,43.313613299912944,551.0,1691774.7108955856,110.39538461538463,0.6424035003076922,415342756.0,0.29349729648348555,True
US.SPGI,2026-05-09,1641850.0,350,1,0,350.0,350.0,1641850.0,30.099,0.843844903,1641850.0,1.0,True
US.SYK,2026-05-09,3791077.0,404,2,301,1.3421633554083885,1.3509933774834437,0.441643659412683,17.9555,-0.487575123,3791077.0,1.0,False
US.SYNA,2026-05-09,578605.0,444,1,456,0.9736842105263158,0.9736842105263158,0.10116165303636193,62.504,0.985946977,578605.0,1.0,False
US.TPR,2026-05-09,780580.0,784,1,0,784.0,784.0,780580.0,41.565,0.908075926,1436999.0,0.543201491441539,True
US.TSLA,2026-05-09,161160736.0,27851,49,154869,6.308274316622362,280.0,99508.18153163778,45.96565306122449,0.6612091814693878,1641044973.0,0.09820616658992684,True
US.TTD,2026-05-09,2810368.0,8440,3,13974,0.7176155290413085,0.9756969263759828,0.10133771374965579,67.06666666666666,-0.18513214999999997,4514152.0,0.6225683140487959,False
US.TTWO,2026-05-09,1171463.0,551,1,135,4.0814814814814815,4.0814814814814815,0.39362684072142,49.225,0.931326913,1171463.0,1.0,False
US.UBER,2026-05-09,691300.0,310,1,620,0.5,0.5,0.14777998674618953,45.473,-0.96513099,3909431.0,0.1768288019407428,False
US.UNH,2026-05-09,4850940.0,1817,4,16701,0.3058607847962192,0.9534883720930233,0.022172633818907158,13.5475,0.43005030375,26204524.0,0.18511841695731623,False
US.UPS,2026-05-09,452225.0,311,1,663,0.46907993966817496,0.46907993966817496,0.06768098724369226,70.649,-0.906076319,945432.0,0.4783263100889329,False
US.UPWK,2026-05-09,1839718.0,4089,1,4962,0.8240628778718259,0.8240628778718259,0.4203643838295764,223.14,-0.850755117,1839718.0,1.0,False
