stock_owner,trade_date,turnover_sum,turnover_max,volume_sum,volume_max,option_open_interest_sum,option_open_interest_mean,option_implied_volatility_mean,option_delta_mean,market_val_last,cf_log_turnover_sum,cf_log_turnover_mean,cf_churn_mean,cf_churn_max,cf_notional_churn_mean,cf_notional_churn_max,cf_delta_flow_sum,cf_vega_flow_sum,cf_gamma_flow_sum,cf_iv_level_mean,cf_volume_oi_ratio_mean,cf_volume_oi_ratio_max,cf_turnover_per_contract_mean,cf_turnover_per_contract_max,cf_intraday_range_mean,cf_intraday_range_max,cf_theta_vega_ratio_mean,cf_dte_weight_mean,cf_market_val_log_last,contracts
US.CRWV,2026-05-09,34436874.0,5446142.0,84987,23478,131377,4105.53125,91.58478125,-0.374666822375,61979688985.8,434.98602366081263,13.593313239400395,3.1314978946222136,23.38095238095238,0.22450790978685242,2.489471747700394,12848608.966623316,3937470.353808119,490526.414486634,91.58478125,3.1314978946222136,23.38095238095238,919.8102005728141,3010.3093220338983,0.5907845338997595,1.0751265341228624,3.707339466078606,0.06914762121660098,24.85007257133279,32
US.CSCO,2026-05-09,745347.0,392391.0,4423,3238,3761,1880.5,69.196,-0.3122117265,381441171065.94,25.654118134570147,12.827059067285074,1.6683372494732944,2.341897233201581,0.04235744705348613,0.07223169741910372,228827.674882758,33518.328441075006,27290.135082453,69.196,1.6683372494732944,2.341897233201581,209.51815114815366,297.85316455696204,0.21146004921681535,0.3209978447287568,5.0488025403268395,0.125,26.667222471499592,2
US.CVNA,2026-05-09,1371020.0,853929.0,17730,16605,0,0.0,68.318,-0.24333507399999998,55827516726.9,26.81358058956736,13.40679029478368,8865.0,16605.0,685510.0,853929.0,295305.390318578,69724.044145793,34645.64864326,68.318,8865.0,16605.0,255.53123035230354,459.63644444444446,0.8708624708624707,1.487179487179487,2.951444787383223,0.0744047619047619,24.745532716108755,2
US.CVX,2026-05-09,405894.0,405894.0,1097,1097,4150,4150.0,29.305,-0.321236732,361713980085.84,12.913849784446118,12.913849784446118,0.26433734939759035,0.26433734939759035,0.005385187927129728,0.005385187927129728,130388.06209840802,88321.376790312,8195.646043248,29.305,0.26433734939759035,0.26433734939759035,370.00364630811305,370.00364630811305,0.10810810810810807,0.10810810810810807,0.33479202585872125,0.023809523809523808,26.614119626213213,1
US.DAL,2026-05-09,402329.0,402329.0,1071,1071,1245,1245.0,42.471,-0.430254135,48177394952.2,12.905027926373096,12.905027926373096,0.8602409638554217,0.8602409638554217,0.04406870629935534,0.04406870629935534,173103.715880415,38778.247716509,15235.499982198,42.471,0.8602409638554217,0.8602409638554217,375.65732959850607,375.65732959850607,0.09932885906040272,0.09932885906040272,0.4899702307699706,0.023809523809523808,24.598155763621953,1
US.DDOG,2026-05-09,2082607.0,924860.0,1992,834,386,128.66666666666666,63.61233333333333,-0.30838471233333337,71248991430.24,40.20971388134873,13.403237960449578,7.139920104050539,12.7,0.5071674161506915,1.1551508792965628,654446.782496493,568082.556063436,19200.053082123002,63.61233333333333,7.139920104050539,12.7,1151.5608926983186,1820.5905511811025,0.41373895470407995,0.7143755214941306,1.9318064670104356,0.052747828691224914,24.989446500643965,3
US.DELL,2026-05-09,3129525.0,669662.0,5670,1994,207,29.571428571428573,69.76471428571429,-0.34072278542857143,168191641547.46,90.79318221168771,12.970454601669672,263.9554845703215,669.0,193222.29011593712,669662.0,1117525.152326999,379012.809528737,42199.987052558005,69.76471428571429,263.9554845703215,669.0,769.9355846226956,1652.1958333333334,0.3044063945837709,0.4711199903650649,5.058720942628502,0.125,25.84836988972172,7
US.DHR,2026-05-09,14417190.0,6370200.0,3621,1860,1293,431.0,0.0,0.0,121142020517.32,45.96005516024526,15.320018386748421,3.20220581863356,4.675324675324675,0.8663982377607636,1.611160515110036,0.0,0.0,0.0,0.0,3.20220581863356,4.675324675324675,4232.842672856173,5898.333333333333,0.04239963247958656,0.05738222298731847,0.0,0.057539682539682536,25.52022941756038,3
US.DIS,2026-05-09,340141.0,340141.0,783,783,4826,4826.0,24.417,-0.557609356,187577964020.48,12.73711845646091,12.73711845646091,0.16224616659759636,0.16224616659759636,0.006524804350439931,0.006524804350439931,189665.80395919597,48370.047167811004,15543.026332452999,24.417,0.16224616659759636,0.16224616659759636,434.4074074074074,434.4074074074074,0.12428078250863052,0.12428078250863052,0.26317230601541053,0.023809523809523808,25.9574604040472,1
US.DPZ,2026-05-09,613505.0,613505.0,1533,1533,27,27.0,35.944,-0.149926692,10759549707.6,13.32694532303638,13.32694532303638,56.77777777777778,56.77777777777778,0.7024362373997591,0.7024362373997591,91980.77517546,202309.46217493498,2814.48977079,35.944,56.77777777777778,56.77777777777778,400.1989562948467,400.1989562948467,0.3645721638430193,0.3645721638430193,0.24318801808176382,0.014084507042253521,23.09905954216125,1
US.EA,2026-05-09,1063475.0,1063475.0,4041,4041,2703,2703.0,27.352,-0.10361467,50160854233.72,13.877053346372021,13.877053346372021,1.495005549389567,1.495005549389567,0.019628939898630706,0.019628939898630706,110191.61117825001,205509.591813925,6527.765880825,27.352,1.495005549389567,1.495005549389567,263.17124474140064,263.17124474140064,0.6269592476489028,0.6269592476489028,0.12052678853100453,0.009433962264150943,24.638500763323833,1
US.ELF,2026-05-09,390660.0,390660.0,583,583,73,73.0,74.344,-0.253658067,3593919265.54,12.875595455226332,12.875595455226332,7.986301369863014,7.986301369863014,0.8793143032065509,0.8793143032065509,99094.06045422,55795.883628899996,3797.5902336000004,74.344,7.986301369863014,7.986301369863014,670.0857632933105,670.0857632933105,0.028464419475655357,0.028464419475655357,0.1769339140406876,0.005076142131979695,22.00250916165536,1
US.ENPH,2026-05-09,545210.0,545210.0,1019,1019,4268,4268.0,73.061,-0.368310422,4804045119.0,13.208928154683152,13.208928154683152,0.2387535145267104,0.2387535145267104,0.035046275405191014,0.035046275405191014,200806.52517862,45094.18715917999,12919.659269860002,73.061,0.2387535145267104,0.2387535145267104,535.0441609421001,535.0441609421001,0.05357142857142854,0.05357142857142854,0.25764140187666856,0.007518796992481203,22.29272413329323,1
US.EOG,2026-05-09,362670.0,362670.0,709,709,476,476.0,33.84,-0.291071243,69257687755.9,12.801251366187945,12.801251366187945,1.4894957983193278,1.4894957983193278,0.05859507534460373,0.05859507534460373,105562.80769881,97377.0727083,4730.54199618,33.84,1.4894957983193278,1.4894957983193278,511.52327221438645,511.52327221438645,0.04117647058823529,0.04117647058823529,0.11405903951981615,0.007462686567164179,24.961099990392274,1
US.ETN,2026-05-09,700755.0,386331.0,704,456,342,171.0,35.723,-0.437181372,155906333000.0,25.5229532353121,12.76147661765605,10.751136363636363,20.727272727272727,0.23091672685611817,0.43736146048666286,311235.445039101,244725.41364476696,10267.599709224,35.723,10.751136363636363,20.727272727272727,1057.5279074702885,1267.8387096774193,0.12188045828458485,0.13737793784576546,1.500763265876565,0.0744047619047619,25.772521234385213,2
US.EXPE,2026-05-09,2601457.0,2601457.0,2060,2060,2038,2038.0,46.056,-0.460617748,27602677268.46,14.77158261505017,14.77158261505017,1.0107948969578018,1.0107948969578018,0.055503759724466376,0.055503759724466376,1198277.264858836,794734.9235929309,29284.336100385997,46.056,1.0107948969578018,1.0107948969578018,1262.843203883495,1262.843203883495,0.4800000000000001,0.4800000000000001,0.5317827397479268,0.023809523809523808,24.041178607481744,1
US.FBIN,2026-05-09,2553531.0,2553531.0,88053,88053,89874,89874.0,55.261,-0.132337919,4530763977.66,14.752988056810384,14.752988056810384,0.9797383002870685,0.9797383002870685,0.007480869917902617,0.007480869917902617,337928.978641989,28741.183903977,188285.02451055302,55.261,0.9797383002870685,0.9797383002870685,28.99993185922115,28.99993185922115,0.8571428571428572,0.8571428571428572,3.881959051543574,0.125,22.234156410932574,1
US.FCX,2026-05-09,1000974.0,363255.0,3221,1761,16325,5441.666666666667,50.492,-0.549091452,88603479009.9,38.147574827382165,12.715858275794055,1.2536726953196806,3.439453125,0.04866461388982835,0.1027850643755069,541476.503572433,60773.856577,53529.76966776801,50.492,1.2536726953196806,3.439453125,498.67620640159566,994.5396825396825,0.11110681817165158,0.16502888005400942,1.622709647660642,0.057539682539682536,25.207436960275253,3
US.FLEX,2026-05-09,1424396.0,1424396.0,2633,2633,23,23.0,63.737,-0.22072173,52272201775.08,14.169259124233584,14.169259124233584,114.47826086956522,114.47826086956522,4.3560709621977365,4.3560709621977365,314395.14932508,262988.643558032,10668.271657676,63.737,114.47826086956522,114.47826086956522,540.9783516900874,540.9783516900874,0.0680546103526339,0.0680546103526339,0.4385675835110692,0.014084507042253521,24.67973055191552,1
US.FLR,2026-05-09,3359618.0,3359618.0,4023,4023,5033,5033.0,79.661,-0.95659327,6049103195.76,15.027338132652789,15.027338132652789,0.7993244585734155,0.7993244585734155,0.15412560178325246,0.15412560178325246,3213787.96857086,18386.215024780002,70801.7655983,79.661,0.7993244585734155,0.7993244585734155,835.1026597066866,835.1026597066866,0.6114412894073911,0.6114412894073911,4.6352138154588856,0.125,22.523175866061226,1
US.FOUR,2026-05-09,486252.0,486252.0,1041,1041,275,275.0,65.478,-0.550759505,3377825583.92,13.09448434356157,13.09448434356157,3.7854545454545456,3.7854545454545456,0.41526282078654086,0.41526282078654086,267807.91082526004,27432.491541156,20732.976642924,65.478,3.7854545454545456,3.7854545454545456,467.1008645533141,467.1008645533141,0.36901408450704226,0.36901408450704226,0.7598723898522558,0.023809523809523808,21.94049802135247,1
US.FSLR,2026-05-09,372765.0,372765.0,545,545,526,526.0,50.555,-0.418921667,23634367191.85,12.828706155917706,12.828706155917706,1.0361216730038023,1.0361216730038023,0.03221999123547782,0.03221999123547782,156159.335199255,44191.99378479,9499.70056683,50.555,1.0361216730038023,1.0361216730038023,683.9724770642201,683.9724770642201,0.529006105877704,0.529006105877704,3.698662507992492,0.125,23.88596772667832,1
US.FTNT,2026-05-09,350407.0,350407.0,638,638,217,217.0,37.267,-0.366626987,83510880501.29,12.766853468833977,12.766853468833977,2.9400921658986174,2.9400921658986174,0.1415603403036134,0.1415603403036134,128468.662633709,65747.045168791,7143.630473062,37.267,2.9400921658986174,2.9400921658986174,549.2272727272727,549.2272727272727,0.37768935050920616,0.37768935050920616,0.2460737556049852,0.014084507042253521,25.148242765730853,1
