stock_owner,trade_date,moneyness_bucket,bucket_turnover,bucket_volume,bucket_contracts,bucket_oi_sum,bucket_avg_iv,bucket_avg_delta,bucket_avg_churn,bucket_max_churn,bucket_avg_notional_churn,bucket_max_notional_churn,bucket_delta_flow,bucket_vega_flow,day_total_turnover,bucket_turnover_share
US.BX,2026-05-09,ATM,351340.0,411,1,1007,39.219,0.630170784,0.40814299900695133,0.40814299900695133,0.028189198997178914,0.028189198997178914,221404.20325056,54984.92220936,351340.0,1.0
US.C,2026-05-09,ATM,4052025.0,17389,6,50713,30.74716666666667,0.37793686983333336,3.976858740466723,20.25,0.09644520320078807,0.5033066273104224,1393241.305660615,469688.72821151506,5518231.0,0.7342978211676894
US.C,2026-05-09,DEEP_ITM,766310.0,258,1,219,90.03,0.97123152,1.178082191780822,1.178082191780822,0.2787042947105794,0.2787042947105794,744264.4260912,8724.51751362,5518231.0,0.13886877878073609
US.C,2026-05-09,DEEP_OTM,699896.0,1875,2,5865,30.0205,0.2975270335,0.3746516794844468,0.4613233923578751,0.014740614823971215,0.022997487661929633,205573.645277543,138728.27198310802,5518231.0,0.1268334000515745
US.CAVA,2026-05-09,ATM,604785.0,2054,1,132,55.533,0.479892293,15.56060606060606,15.56060606060606,0.577040874742386,0.577040874742386,290231.660422005,26481.126291345,604785.0,1.0
US.CBOE,2026-05-09,ATM,695164.0,689,1,15,25.574,0.877334106,45.93333333333333,45.93333333333333,1.3295922270675542,1.3295922270675542,609891.086463384,67885.2671904,695164.0,1.0
US.CCL,2026-05-09,DEEP_OTM,509013.0,6062,1,3341,52.418,0.243079296,1.814426818317869,1.814426818317869,0.057753406739934086,0.057753406739934086,123730.521694848,18399.285784818,509013.0,1.0
US.CEG,2026-05-09,ATM,1723788.0,1590,2,4519,64.516,0.446366503,4.384103136446886,8.487179487179487,0.15507643014412664,0.30009280863939497,752187.786121014,284269.156058245,2143628.0,0.8041451221947091
US.CEG,2026-05-09,DEEP_OTM,419840.0,224,1,116,48.93,0.350480935,1.9310344827586208,1.9310344827586208,0.11920134192364346,0.11920134192364346,147145.9157504,285093.90834688,2143628.0,0.19585487780529084
US.CELH,2026-05-09,ATM,683466.0,8879,1,7778,64.948,0.301059881,1.1415530984829005,1.1415530984829005,0.02721328255816148,0.02721328255816148,205764.19262754597,10636.476532163999,3055251.0,0.22370207881447385
US.CELH,2026-05-09,DEEP_OTM,2371785.0,17072,3,25263,62.83633333333333,0.3864548243333333,1.0266257699141126,1.7347368421052631,0.11760600689709955,0.26981402096135354,809402.49146087,115952.05294791699,3055251.0,0.7762979211855262
