stock_owner,max_score,avg_score,signal_days,total_turnover,max_daily_turnover,active_days,persistence_ratio,dominant_bucket,stop_status,stop_date,peak_date
US.ON,58.44,57.78,2,6019727.0,3311198.0,2,1.0,DEEP_OTM,ACTIVE,,2026-05-08
US.GME,58.28,55.85,2,4098414.0,2382598.0,2,1.0,ATM,ACTIVE,,2026-05-08
US.SNPS,58.13,56.17,2,2212872.0,1430010.0,2,1.0,ATM,ACTIVE,,2026-05-08
US.ANET,58.12,56.959999999999994,2,4294946.0,2150439.0,2,1.0,ATM,ACTIVE,,2026-05-08
US.CCL,57.92,56.71,2,10521023.0,5629120.0,2,1.0,DEEP_OTM,ACTIVE,,2026-05-08
US.MCK,57.83,57.065,2,6137430.0,4574553.0,2,1.0,ATM,ACTIVE,,2026-05-08
US.HD,57.68,57.22,2,23023566.0,18454580.0,2,1.0,DEEP_ITM,ACTIVE,,2026-05-08
US.BABA,57.68,57.64,2,46694437.0,27123291.0,2,1.0,ATM,ACTIVE,,2026-05-08
US.GS,57.3,56.474999999999994,2,7767665.0,4316605.0,2,1.0,DEEP_OTM,ACTIVE,,2026-05-08
US.LLY,57.3,56.525,2,19352851.0,15912368.0,2,1.0,DEEP_ITM,ACTIVE,,2026-05-08
US.UBER,57.27,57.260000000000005,2,9198975.0,5289544.0,2,1.0,ATM,ACTIVE,,2026-05-08
US.GWW,57.01,56.875,2,7013189.0,5121189.0,2,1.0,DEEP_ITM,ACTIVE,,2026-05-08
US.ETN,56.83,56.144999999999996,2,36335245.0,35634490.0,2,1.0,DEEP_ITM,ACTIVE,,2026-05-08
US.SYK,56.81,56.725,2,21701657.0,17910580.0,2,1.0,DEEP_ITM,ACTIVE,,2026-05-08
US.FCX,56.78,55.565,2,5375519.0,3205311.0,2,1.0,ATM,ACTIVE,,2026-05-08
US.BX,56.5,54.114999999999995,2,7759215.0,7407875.0,2,1.0,DEEP_ITM,ACTIVE,,2026-05-08
US.TDG,56.48,54.099999999999994,2,2095951.0,1668251.0,2,1.0,ATM,ACTIVE,,2026-05-08
US.CLX,56.25,54.675,2,4659032.0,2853840.0,2,1.0,DEEP_OTM,ACTIVE,,2026-05-08
US.MA,56.05,55.364999999999995,2,3890413.0,2984620.0,2,1.0,DEEP_ITM,ACTIVE,,2026-05-08
US.CAT,55.9,55.485,2,8305369.0,5260468.0,2,1.0,ATM,ACTIVE,,2026-05-08
US.UPS,55.36,55.305,2,5112742.0,4167310.0,2,1.0,DEEP_ITM,ACTIVE,,2026-05-08
US.FOUR,54.82,54.519999999999996,2,1034787.0,548535.0,2,1.0,DEEP_ITM,ACTIVE,,2026-05-08
US.DOCS,54.16,53.16,2,1009020.0,576004.0,2,1.0,ATM,ACTIVE,,2026-05-08
US.VTRS,54.05,53.644999999999996,2,1638566.0,1220857.0,2,1.0,DEEP_ITM,ACTIVE,,2026-05-08
US.PYPL,53.75,53.71,2,909052.0,521360.0,2,1.0,DEEP_ITM,ACTIVE,,2026-05-08
US.CAH,52.82,52.45,2,956602.0,595335.0,2,1.0,ATM,ACTIVE,,2026-05-08
US.RKLB,28.56,28.56,1,187816693.0,187816693.0,1,0.5,,N/A,,
US.QQQ,28.44,28.44,1,1465873363.0,1465873363.0,1,0.5,,N/A,,
US.CRWV,27.72,27.72,1,121227241.0,121227241.0,1,0.5,,N/A,,
US.MXL,27.35,27.35,1,24655110.0,24655110.0,1,0.5,,N/A,,
US.USO,27.29,27.29,1,30308561.0,30308561.0,1,0.5,,N/A,,
US.SLV,27.28,27.28,1,76128613.0,76128613.0,1,0.5,,N/A,,
US.AVAV,27.13,27.13,1,11034162.0,11034162.0,1,0.5,,N/A,,
US.GLD,26.78,26.78,1,89234938.0,89234938.0,1,0.5,,N/A,,
US.AAON,26.61,26.61,1,10137883.0,10137883.0,1,0.5,,N/A,,
US.TFC,26.14,26.14,1,10523340.0,10523340.0,1,0.5,,N/A,,
US.WYNN,26.03,26.03,1,46957065.0,46957065.0,1,0.5,,N/A,,
US.CSCO,25.78,25.78,1,16842449.0,16842449.0,1,0.5,,N/A,,
US.APH,25.72,25.72,1,14166827.0,14166827.0,1,0.5,,N/A,,
US.CRCL,25.53,25.53,1,25758294.0,25758294.0,1,0.5,,N/A,,
US.HR,25.3,25.3,1,5774751.0,5774751.0,1,0.5,,N/A,,
US.MNST,25.2,25.2,1,1409121.0,1409121.0,1,0.5,,N/A,,
US.NSIT,24.91,24.91,1,4255826.0,4255826.0,1,0.5,,N/A,,
US.SPGI,24.82,24.82,1,1641850.0,1641850.0,1,0.5,,N/A,,
US.SANM,24.8,24.8,1,5177542.0,5177542.0,1,0.5,,N/A,,
US.TPR,24.29,24.29,1,1436999.0,1436999.0,1,0.5,,N/A,,
US.COF,23.89,23.89,1,1555398.0,1555398.0,1,0.5,,N/A,,
US.AEP,23.87,23.87,1,27431308.0,27431308.0,1,0.5,,N/A,,
US.BKNG,23.82,23.82,1,2890996.0,2890996.0,1,0.5,,N/A,,
US.LULU,23.76,23.76,1,9082220.0,9082220.0,1,0.5,,N/A,,
US.WHR,23.72,23.72,1,3320099.0,3320099.0,1,0.5,,N/A,,
US.GDX,23.51,23.51,1,7836898.0,7836898.0,1,0.5,,N/A,,
US.DINO,23.46,23.46,1,65339057.0,65339057.0,1,0.5,,N/A,,
US.HIMS,23.42,23.42,1,8489835.0,8489835.0,1,0.5,,N/A,,
US.FICO,23.38,23.38,1,20503695.0,20503695.0,1,0.5,,N/A,,
US.MRK,23.33,23.33,1,717878.0,717878.0,1,0.5,,N/A,,
US.CAVA,23.27,23.27,1,934814.0,934814.0,1,0.5,,N/A,,
US.CIEN,23.15,23.15,1,2765360.0,2765360.0,1,0.5,,N/A,,
US.BIIB,23.14,23.14,1,3314297.0,3314297.0,1,0.5,,N/A,,
US.ABBV,23.12,23.12,1,4051747.0,4051747.0,1,0.5,,N/A,,
US.LVS,23.08,23.08,1,337443.0,337443.0,1,0.5,,N/A,,
US.PENG,23.06,23.06,1,2906866.0,2906866.0,1,0.5,,N/A,,
US.DUOL,23.03,23.03,1,3288796.0,3288796.0,1,0.5,,N/A,,
US.ONTO,23.02,23.02,1,1717598.0,1717598.0,1,0.5,,N/A,,
US.ACN,23.01,23.01,1,13105870.0,13105870.0,1,0.5,,N/A,,
US.DHI,22.99,22.99,1,1066813.0,1066813.0,1,0.5,,N/A,,
US.DE,22.96,22.96,1,1599042.0,1599042.0,1,0.5,,N/A,,
US.MELI,22.83,22.83,1,4207250.0,4207250.0,1,0.5,,N/A,,
US.CMG,22.72,22.72,1,2265088.0,2265088.0,1,0.5,,N/A,,
US.PLNT,22.72,22.72,1,1006450.0,1006450.0,1,0.5,,N/A,,
US.CHWY,22.69,22.69,1,2816985.0,2816985.0,1,0.5,,N/A,,
US.MARA,22.65,22.65,1,6069804.0,6069804.0,1,0.5,,N/A,,
US.PPG,22.62,22.62,1,960375.0,960375.0,1,0.5,,N/A,,
US.KTOS,22.61,22.61,1,5174061.0,5174061.0,1,0.5,,N/A,,
US.EOG,22.58,22.58,1,1035706.0,1035706.0,1,0.5,,N/A,,
US.MKSI,22.41,22.41,1,1662160.0,1662160.0,1,0.5,,N/A,,
US.KBR,22.41,22.41,1,3300000.0,3300000.0,1,0.5,,N/A,,
US.TWLO,22.37,22.37,1,723553.0,723553.0,1,0.5,,N/A,,
US.WMS,22.29,22.29,1,1074615.0,1074615.0,1,0.5,,N/A,,
US.HPQ,22.23,22.23,1,1008000.0,1008000.0,1,0.5,,N/A,,
US.ROIV,22.14,22.14,1,7762930.0,7762930.0,1,0.5,,N/A,,
US.NVT,22.0,22.0,1,1064402.0,1064402.0,1,0.5,,N/A,,
US.VSH,21.9,21.9,1,1012845.0,1012845.0,1,0.5,,N/A,,
US.HWM,21.89,21.89,1,5409772.0,5409772.0,1,0.5,,N/A,,
US.KO,21.84,21.84,1,2636250.0,2636250.0,1,0.5,,N/A,,
US.CNS,21.84,21.84,1,358000.0,358000.0,1,0.5,,N/A,,
US.CHTR,21.82,21.82,1,27764170.0,27764170.0,1,0.5,,N/A,,
US.ACLS,21.71,21.71,1,772855.0,772855.0,1,0.5,,N/A,,
US.BURL,21.71,21.71,1,538806.0,538806.0,1,0.5,,N/A,,
US.BLK,21.65,21.65,1,1941894.0,1941894.0,1,0.5,,N/A,,
US.LFUS,21.63,21.63,1,370424.0,370424.0,1,0.5,,N/A,,
US.TTWO,21.61,21.61,1,1171463.0,1171463.0,1,0.5,,N/A,,
US.AR,21.56,21.56,1,1280322.0,1280322.0,1,0.5,,N/A,,
US.PINS,21.54,21.54,1,1767222.0,1767222.0,1,0.5,,N/A,,
US.NOC,21.53,21.53,1,1650426.0,1650426.0,1,0.5,,N/A,,
US.PTC,21.52,21.52,1,918220.0,918220.0,1,0.5,,N/A,,
US.CGNX,21.44,21.44,1,7263546.0,7263546.0,1,0.5,,N/A,,
US.HST,21.39,21.39,1,679769.0,679769.0,1,0.5,,N/A,,
US.UPWK,21.38,21.38,1,1839718.0,1839718.0,1,0.5,,N/A,,
US.BWXT,21.29,21.29,1,1699764.0,1699764.0,1,0.5,,N/A,,
US.HUM,21.12,21.12,1,1630329.0,1630329.0,1,0.5,,N/A,,
US.CBOE,21.02,21.02,1,695164.0,695164.0,1,0.5,,N/A,,
US.RDNT,21.0,21.0,1,690422.0,690422.0,1,0.5,,N/A,,
US.FN,20.93,20.93,1,1971798.0,1971798.0,1,0.5,,N/A,,
US.KKR,20.92,20.92,1,1522512.0,1522512.0,1,0.5,,N/A,,
US.MPC,20.86,20.86,1,2493690.0,2493690.0,1,0.5,,N/A,,
US.SEZL,20.85,20.85,1,1677258.0,1677258.0,1,0.5,,N/A,,
US.NEM,20.79,20.79,1,4438185.0,4438185.0,1,0.5,,N/A,,
US.LYFT,20.74,20.74,1,1735570.0,1735570.0,1,0.5,,N/A,,
US.GPN,20.63,20.63,1,1980560.0,1980560.0,1,0.5,,N/A,,
US.WSC,20.59,20.59,1,1157843.0,1157843.0,1,0.5,,N/A,,
US.KEYS,20.56,20.56,1,507187.0,507187.0,1,0.5,,N/A,,
US.CYTK,20.52,20.52,1,6164094.0,6164094.0,1,0.5,,N/A,,
US.VITL,20.37,20.37,1,2591350.0,2591350.0,1,0.5,,N/A,,
US.LEN,20.32,20.32,1,2276800.0,2276800.0,1,0.5,,N/A,,
US.DPZ,20.27,20.27,1,613505.0,613505.0,1,0.5,,N/A,,
US.RVTY,20.24,20.24,1,2170380.0,2170380.0,1,0.5,,N/A,,
US.RTX,20.2,20.2,1,4618839.0,4618839.0,1,0.5,,N/A,,
US.RRX,20.2,20.2,1,682723.0,682723.0,1,0.5,,N/A,,
US.SYNA,20.19,20.19,1,578605.0,578605.0,1,0.5,,N/A,,
US.DG,20.18,20.18,1,1088150.0,1088150.0,1,0.5,,N/A,,
US.AA,20.08,20.08,1,1272902.0,1272902.0,1,0.5,,N/A,,
US.ATI,20.03,20.03,1,2187951.0,2187951.0,1,0.5,,N/A,,
US.PG,20.03,20.03,1,758270.0,758270.0,1,0.5,,N/A,,
US.ENPH,20.01,20.01,1,1246694.0,1246694.0,1,0.5,,N/A,,
US.JBHT,19.97,19.97,1,1749450.0,1749450.0,1,0.5,,N/A,,
US.PH,19.95,19.95,1,452120.0,452120.0,1,0.5,,N/A,,
US.ZBRA,19.88,19.88,1,1836000.0,1836000.0,1,0.5,,N/A,,
US.PFGC,19.85,19.85,1,1429630.0,1429630.0,1,0.5,,N/A,,
US.CB,19.71,19.71,1,666265.0,666265.0,1,0.5,,N/A,,
US.HLIT,19.68,19.68,1,312975.0,312975.0,1,0.5,,N/A,,
US.RNG,19.6,19.6,1,460790.0,460790.0,1,0.5,,N/A,,
US.FBIN,19.57,19.57,1,6339508.0,6339508.0,1,0.5,,N/A,,
US.ELF,19.57,19.57,1,390660.0,390660.0,1,0.5,,N/A,,
US.CLSK,19.55,19.55,1,1433417.0,1433417.0,1,0.5,,N/A,,
US.TMUS,19.55,19.55,1,2324711.0,2324711.0,1,0.5,,N/A,,
US.CME,19.54,19.54,1,956450.0,956450.0,1,0.5,,N/A,,
US.HII,19.49,19.49,1,596959.0,596959.0,1,0.5,,N/A,,
US.NTNX,19.44,19.44,1,605828.0,605828.0,1,0.5,,N/A,,
US.PATH,19.43,19.43,1,821326.0,821326.0,1,0.5,,N/A,,
US.HAL,19.43,19.43,1,1004056.0,1004056.0,1,0.5,,N/A,,
US.VIAV,19.4,19.4,1,3107932.0,3107932.0,1,0.5,,N/A,,
US.ANF,19.28,19.28,1,1350510.0,1350510.0,1,0.5,,N/A,,
US.JCI,19.26,19.26,1,611378.0,611378.0,1,0.5,,N/A,,
US.PM,19.23,19.23,1,372130.0,372130.0,1,0.5,,N/A,,
US.PNR,19.02,19.02,1,2000000.0,2000000.0,1,0.5,,N/A,,
US.IRM,19.01,19.01,1,314112.0,314112.0,1,0.5,,N/A,,
US.LYB,18.92,18.92,1,945236.0,945236.0,1,0.5,,N/A,,
US.HSIC,18.91,18.91,1,494310.0,494310.0,1,0.5,,N/A,,
US.PEP,18.91,18.91,1,737996.0,737996.0,1,0.5,,N/A,,
US.AMT,18.89,18.89,1,861749.0,861749.0,1,0.5,,N/A,,
US.NRG,18.89,18.89,1,405837.0,405837.0,1,0.5,,N/A,,
US.CNC,18.88,18.88,1,602739.0,602739.0,1,0.5,,N/A,,
US.LTH,18.79,18.79,1,612859.0,612859.0,1,0.5,,N/A,,
US.AGX,18.75,18.75,1,2305255.0,2305255.0,1,0.5,,N/A,,
US.MCY,18.73,18.73,1,722966.0,722966.0,1,0.5,,N/A,,
US.NIO,18.71,18.71,1,430332.0,430332.0,1,0.5,,N/A,,
US.PRKS,18.65,18.65,1,603760.0,603760.0,1,0.5,,N/A,,
US.AXON,18.63,18.63,1,1101686.0,1101686.0,1,0.5,,N/A,,
US.VZ,18.59,18.59,1,1826505.0,1826505.0,1,0.5,,N/A,,
US.SBUX,18.44,18.44,1,875330.0,875330.0,1,0.5,,N/A,,
US.PDD,18.39,18.39,1,1013626.0,1013626.0,1,0.5,,N/A,,
US.SHOO,18.35,18.35,1,422217.0,422217.0,1,0.5,,N/A,,
US.MOH,18.23,18.23,1,793833.0,793833.0,1,0.5,,N/A,,
US.ARES,18.13,18.13,1,414236.0,414236.0,1,0.5,,N/A,,
US.VRSN,18.07,18.07,1,1458354.0,1458354.0,1,0.5,,N/A,,
US.BXP,17.99,17.99,1,511989.0,511989.0,1,0.5,,N/A,,
US.MGM,17.97,17.97,1,1380760.0,1380760.0,1,0.5,,N/A,,
US.OSK,17.91,17.91,1,351665.0,351665.0,1,0.5,,N/A,,
US.VICI,17.72,17.72,1,732955.0,732955.0,1,0.5,,N/A,,
US.T,17.58,17.58,1,544977.0,544977.0,1,0.5,,N/A,,
US.NXPI,17.58,17.58,1,720950.0,720950.0,1,0.5,,N/A,,
US.EL,17.57,17.57,1,822073.0,822073.0,1,0.5,,N/A,,
