stock_owner,trade_date,deep_turnover,deep_volume,deep_contracts,deep_oi_sum,deep_avg_churn,deep_max_churn,deep_avg_notional_churn,deep_avg_iv,deep_avg_delta,day_total_turnover,deep_turnover_share,is_churning
US.CVS,2026-05-08,518339.0,440,1,696,0.632183908045977,0.632183908045977,0.08524953554587175,25.441,0.846012664,518339.0,1.0,False
US.DAL,2026-05-08,1102347.0,967,1,3446,0.2806152060359837,0.2806152060359837,0.04375485686782246,87.319,0.901009816,1102347.0,1.0,False
US.DASH,2026-05-08,3941160.0,1508,2,57,383.6140350877193,754.0,966629.5279068695,73.2075,0.941831973,8630620.0,0.45664853741677885,True
US.DDOG,2026-05-08,99564826.0,32091,29,67940,3.471192176373522,86.33333333333333,0.5965406882550444,60.822620689655174,0.636094841862069,114288497.0,0.8711710155747345,False
US.DELL,2026-05-08,4381500.0,1100,2,640,250.46875,500.0,866250.0898741152,70.84450000000001,0.7848660365,11422448.0,0.3835867757944707,True
US.DOCN,2026-05-08,6335653.0,2170,2,7808,0.28227364538652927,0.5030049647243271,0.05449815813361053,166.961,0.911720173,7332743.0,0.8640222356081483,False
US.DUOL,2026-05-08,806311.0,732,1,236,3.1016949152542375,3.1016949152542375,0.3007281079040846,0.0,0.0,2414040.0,0.3340089642259449,False
US.ETN,2026-05-08,32282050.0,1700,2,569,4.776984834968777,6.842105263157895,1.0215828655220323,0.0,0.0,35634490.0,0.9059214822493601,True
US.FICO,2026-05-08,14939771.0,700,3,747,0.9548511047070125,1.0,0.18231948954602364,61.595,0.732076647,20503695.0,0.7286379845193757,False
US.FLEX,2026-05-08,16964214.0,1805,3,2038,0.9182118545102395,0.963855421686747,0.6309998330159815,60.87366666666667,0.8762711266666666,18096981.0,0.93740574740063,False
US.FTNT,2026-05-08,31066712.0,16441,17,27230,0.6551523580921736,1.3119143239625168,0.1138300041833655,88.63141176470587,0.8399096395882353,32784650.0,0.9475993185835444,False
US.GLW,2026-05-08,2883244.0,752,2,6497,0.7162556418065229,1.398457583547558,0.14967257091353223,72.06700000000001,0.6981871264999999,14259281.0,0.20220121898151808,False
