stock_owner,active_days,persistence_ratio,max_consecutive_days,total_turnover,max_daily_turnover,peak_date,dominant_bucket,window_days,bp_ATM_active_days,bp_ATM_ratio,bp_DEEP_ITM_active_days,bp_DEEP_ITM_ratio,bp_DEEP_OTM_active_days,bp_DEEP_OTM_ratio
US.APH,1,0.5,1,14166827.0,14166827.0,2026-05-09,ATM,2,1.0,0.5,1.0,0.5,1.0,0.5
US.APO,2,1.0,2,2405674.0,1722775.0,2026-05-09,ATM,2,2.0,1.0,,,,
US.APP,2,1.0,2,101805912.0,68944011.0,2026-05-08,ATM,2,2.0,1.0,1.0,0.5,2.0,1.0
US.AR,1,0.5,1,1280322.0,1280322.0,2026-05-08,ATM,2,1.0,0.5,,,,
US.ARES,1,0.5,1,414236.0,414236.0,2026-05-09,DEEP_OTM,2,,,,,1.0,0.5
US.ARM,2,1.0,2,96844168.0,73392237.0,2026-05-08,ATM,2,2.0,1.0,2.0,1.0,2.0,1.0
US.ARWR,1,0.5,1,367456.0,367456.0,2026-05-09,ATM,2,1.0,0.5,,,,
US.ASML,2,1.0,2,19766969.0,15547178.0,2026-05-09,ATM,2,2.0,1.0,,,2.0,1.0
US.ATI,1,0.5,1,2187951.0,2187951.0,2026-05-08,ATM,2,1.0,0.5,,,1.0,0.5
US.AVAV,1,0.5,1,11034162.0,11034162.0,2026-05-08,DEEP_ITM,2,1.0,0.5,1.0,0.5,,
US.AVGO,2,1.0,2,219419331.0,114022500.0,2026-05-09,ATM,2,2.0,1.0,2.0,1.0,2.0,1.0
US.AXON,1,0.5,1,1101686.0,1101686.0,2026-05-08,ATM,2,1.0,0.5,,,,
US.AXP,2,1.0,2,1965438.0,1459323.0,2026-05-09,DEEP_OTM,2,1.0,0.5,,,2.0,1.0
US.BA,2,1.0,2,42935300.0,22508381.0,2026-05-09,ATM,2,2.0,1.0,2.0,1.0,2.0,1.0
US.BABA,2,1.0,2,46694437.0,27123291.0,2026-05-08,ATM,2,2.0,1.0,2.0,1.0,2.0,1.0
US.BAC,2,1.0,2,15191894.0,14062000.0,2026-05-09,ATM,2,2.0,1.0,1.0,0.5,1.0,0.5
US.BIDU,2,1.0,2,8296193.0,7431197.0,2026-05-09,ATM,2,1.0,0.5,,,2.0,1.0
US.BIIB,1,0.5,1,3314297.0,3314297.0,2026-05-09,DEEP_ITM,2,,,1.0,0.5,,
US.BKNG,1,0.5,1,2890996.0,2890996.0,2026-05-09,ATM,2,1.0,0.5,,,,
US.BLK,1,0.5,1,1941894.0,1941894.0,2026-05-09,ATM,2,1.0,0.5,,,,
US.BRK.B,2,1.0,2,2882671.0,1562306.0,2026-05-09,ATM,2,2.0,1.0,,,1.0,0.5
US.BSX,2,1.0,2,44350737.0,30055694.0,2026-05-08,DEEP_ITM,2,1.0,0.5,2.0,1.0,1.0,0.5
US.BURL,1,0.5,1,538806.0,538806.0,2026-05-08,DEEP_OTM,2,,,,,1.0,0.5
US.BWA,1,0.5,1,390807.0,390807.0,2026-05-09,ATM,2,1.0,0.5,,,,
US.BWXT,1,0.5,1,1699764.0,1699764.0,2026-05-08,DEEP_OTM,2,,,,,1.0,0.5
US.BX,2,1.0,2,7759215.0,7407875.0,2026-05-08,DEEP_ITM,2,1.0,0.5,1.0,0.5,,
US.BXP,1,0.5,1,511989.0,511989.0,2026-05-08,DEEP_OTM,2,,,,,1.0,0.5
US.C,2,1.0,2,17559130.0,9996275.0,2026-05-09,ATM,2,2.0,1.0,1.0,0.5,1.0,0.5
US.CAH,2,1.0,2,956602.0,595335.0,2026-05-08,ATM,2,2.0,1.0,,,,
US.CAR,2,1.0,2,133279670.0,128718752.0,2026-05-08,DEEP_ITM,2,2.0,1.0,2.0,1.0,,
US.CAT,2,1.0,2,8305369.0,5260468.0,2026-05-08,ATM,2,2.0,1.0,,,2.0,1.0
US.CAVA,1,0.5,1,934814.0,934814.0,2026-05-09,ATM,2,1.0,0.5,,,,
US.CB,1,0.5,1,666265.0,666265.0,2026-05-08,ATM,2,1.0,0.5,,,,
US.CBOE,1,0.5,1,695164.0,695164.0,2026-05-09,ATM,2,1.0,0.5,,,,
US.CCL,2,1.0,2,10521023.0,5629120.0,2026-05-08,DEEP_OTM,2,2.0,1.0,,,2.0,1.0
US.CEG,2,1.0,2,8462793.0,6376516.0,2026-05-09,ATM,2,2.0,1.0,,,2.0,1.0
US.CELH,2,1.0,2,5106370.0,3055251.0,2026-05-09,DEEP_OTM,2,2.0,1.0,,,2.0,1.0
US.CENX,1,0.5,1,376233.0,376233.0,2026-05-09,ATM,2,1.0,0.5,,,,
US.CF,1,0.5,1,340091.0,340091.0,2026-05-09,ATM,2,1.0,0.5,,,,
US.CGNX,1,0.5,1,7263546.0,7263546.0,2026-05-08,DEEP_ITM,2,1.0,0.5,1.0,0.5,,
US.CHDN,1,0.5,1,648668.0,648668.0,2026-05-08,DEEP_OTM,2,,,,,1.0,0.5
US.CHTR,1,0.5,1,27764170.0,27764170.0,2026-05-08,DEEP_ITM,2,,,1.0,0.5,,
US.CHWY,1,0.5,1,2816985.0,2816985.0,2026-05-08,DEEP_ITM,2,,,1.0,0.5,,
US.CIEN,1,0.5,1,2765360.0,2765360.0,2026-05-08,ATM,2,1.0,0.5,,,1.0,0.5
US.CLSK,1,0.5,1,1433417.0,1433417.0,2026-05-09,ATM,2,1.0,0.5,,,,
US.CLX,2,1.0,2,4659032.0,2853840.0,2026-05-08,DEEP_OTM,2,1.0,0.5,,,2.0,1.0
US.CME,1,0.5,1,956450.0,956450.0,2026-05-09,DEEP_ITM,2,1.0,0.5,1.0,0.5,,
US.CMG,1,0.5,1,2265088.0,2265088.0,2026-05-08,DEEP_ITM,2,,,1.0,0.5,,
US.CNC,1,0.5,1,602739.0,602739.0,2026-05-09,DEEP_ITM,2,,,1.0,0.5,,
US.CNS,1,0.5,1,358000.0,358000.0,2026-05-09,DEEP_ITM,2,,,1.0,0.5,,
US.COF,1,0.5,1,1555398.0,1555398.0,2026-05-09,DEEP_ITM,2,,,1.0,0.5,,
US.COHR,2,1.0,2,37626794.0,28021524.0,2026-05-08,ATM,2,2.0,1.0,,,2.0,1.0
US.COIN,2,1.0,2,137018291.0,74234831.0,2026-05-08,ATM,2,2.0,1.0,1.0,0.5,2.0,1.0
US.COP,2,1.0,2,81696740.0,80495164.0,2026-05-09,DEEP_ITM,2,1.0,0.5,1.0,0.5,1.0,0.5
US.COR,1,0.5,1,433351.0,433351.0,2026-05-09,ATM,2,1.0,0.5,,,,
US.CRCL,1,0.5,1,25758294.0,25758294.0,2026-05-09,ATM,2,1.0,0.5,1.0,0.5,1.0,0.5
US.CRM,2,1.0,2,41475586.0,22445976.0,2026-05-09,DEEP_ITM,2,2.0,1.0,2.0,1.0,2.0,1.0
US.CRWD,2,1.0,2,37889971.0,26138308.0,2026-05-08,ATM,2,2.0,1.0,1.0,0.5,1.0,0.5
US.CRWV,1,0.5,1,121227241.0,121227241.0,2026-05-09,ATM,2,1.0,0.5,1.0,0.5,1.0,0.5
US.CSCO,1,0.5,1,16842449.0,16842449.0,2026-05-09,ATM,2,1.0,0.5,1.0,0.5,1.0,0.5
US.CVNA,2,1.0,2,41283299.0,33058182.0,2026-05-08,ATM,2,2.0,1.0,,,2.0,1.0
US.CVS,2,1.0,2,3590126.0,3071787.0,2026-05-09,ATM,2,1.0,0.5,1.0,0.5,1.0,0.5
US.CVX,2,1.0,2,3268058.0,2071392.0,2026-05-09,ATM,2,2.0,1.0,1.0,0.5,,
US.CYTK,1,0.5,1,6164094.0,6164094.0,2026-05-09,DEEP_ITM,2,,,1.0,0.5,,
US.DAL,2,1.0,2,3205767.0,1946546.0,2026-05-08,ATM,2,2.0,1.0,2.0,1.0,,
US.DASH,2,1.0,2,26896201.0,15304658.0,2026-05-09,DEEP_ITM,2,1.0,0.5,2.0,1.0,1.0,0.5
US.DDOG,2,1.0,2,149698855.0,117183701.0,2026-05-08,DEEP_ITM,2,2.0,1.0,2.0,1.0,2.0,1.0
US.DE,1,0.5,1,1599042.0,1599042.0,2026-05-08,ATM,2,1.0,0.5,,,1.0,0.5
US.DELL,2,1.0,2,68946986.0,54902876.0,2026-05-09,ATM,2,2.0,1.0,2.0,1.0,2.0,1.0
US.DG,1,0.5,1,1088150.0,1088150.0,2026-05-08,DEEP_ITM,2,,,1.0,0.5,,
US.DHI,1,0.5,1,1066813.0,1066813.0,2026-05-09,DEEP_ITM,2,,,1.0,0.5,,
US.DHR,2,1.0,2,37496189.0,22775316.0,2026-05-08,DEEP_ITM,2,,,2.0,1.0,1.0,0.5
US.DINO,1,0.5,1,65339057.0,65339057.0,2026-05-09,DEEP_ITM,2,1.0,0.5,1.0,0.5,,
US.DIS,2,1.0,2,6769540.0,4140381.0,2026-05-09,DEEP_ITM,2,2.0,1.0,1.0,0.5,1.0,0.5
US.DOCN,2,1.0,2,12406903.0,7332743.0,2026-05-08,DEEP_ITM,2,1.0,0.5,2.0,1.0,2.0,1.0
US.DOCS,2,1.0,2,1009020.0,576004.0,2026-05-08,ATM,2,1.0,0.5,1.0,0.5,,
US.DPZ,1,0.5,1,613505.0,613505.0,2026-05-09,DEEP_OTM,2,,,,,1.0,0.5
US.DUOL,1,0.5,1,3288796.0,3288796.0,2026-05-08,DEEP_ITM,2,1.0,0.5,1.0,0.5,,
US.DVA,2,1.0,2,6341717.0,4256596.0,2026-05-09,ATM,2,2.0,1.0,,,1.0,0.5
US.DVN,2,1.0,2,11608824.0,8409397.0,2026-05-08,DEEP_OTM,2,2.0,1.0,1.0,0.5,2.0,1.0
US.EA,1,0.5,1,1063475.0,1063475.0,2026-05-09,DEEP_OTM,2,,,,,1.0,0.5
US.EL,1,0.5,1,822073.0,822073.0,2026-05-09,DEEP_ITM,2,,,1.0,0.5,,
US.ELF,1,0.5,1,390660.0,390660.0,2026-05-09,DEEP_OTM,2,,,,,1.0,0.5
US.ENPH,1,0.5,1,1246694.0,1246694.0,2026-05-09,ATM,2,1.0,0.5,,,,
US.EOG,1,0.5,1,1035706.0,1035706.0,2026-05-09,ATM,2,1.0,0.5,,,1.0,0.5
US.EQT,1,0.5,1,383613.0,383613.0,2026-05-09,DEEP_OTM,2,,,,,1.0,0.5
US.ETN,2,1.0,2,36335245.0,35634490.0,2026-05-08,DEEP_ITM,2,2.0,1.0,1.0,0.5,,
US.EVR,1,0.5,1,670619.0,670619.0,2026-05-08,ATM,2,1.0,0.5,,,,
US.EXPE,2,1.0,2,14067507.0,12610620.0,2026-05-09,DEEP_OTM,2,2.0,1.0,,,1.0,0.5
US.FBIN,1,0.5,1,6339508.0,6339508.0,2026-05-09,ATM,2,1.0,0.5,,,1.0,0.5
US.FCX,2,1.0,2,5375519.0,3205311.0,2026-05-08,ATM,2,2.0,1.0,1.0,0.5,2.0,1.0
US.FICO,1,0.5,1,20503695.0,20503695.0,2026-05-08,DEEP_ITM,2,1.0,0.5,1.0,0.5,,
US.FLEX,2,1.0,2,21352972.0,18096981.0,2026-05-08,DEEP_ITM,2,2.0,1.0,2.0,1.0,1.0,0.5
US.FLR,2,1.0,2,3921487.0,3359618.0,2026-05-09,DEEP_ITM,2,1.0,0.5,1.0,0.5,,
US.FN,1,0.5,1,1971798.0,1971798.0,2026-05-08,DEEP_ITM,2,,,1.0,0.5,,
US.FOUR,2,1.0,2,1034787.0,548535.0,2026-05-08,DEEP_ITM,2,1.0,0.5,1.0,0.5,,
US.FSLR,2,1.0,2,5492968.0,4713929.0,2026-05-08,DEEP_OTM,2,2.0,1.0,,,2.0,1.0
US.FTNT,2,1.0,2,37941505.0,35140129.0,2026-05-08,DEEP_ITM,2,2.0,1.0,2.0,1.0,1.0,0.5
US.GDX,1,0.5,1,7836898.0,7836898.0,2026-05-09,ATM,2,1.0,0.5,,,1.0,0.5
US.GE,2,1.0,2,3486893.0,2090995.0,2026-05-09,ATM,2,2.0,1.0,,,,
US.GEV,2,1.0,2,7381039.0,6738295.0,2026-05-09,ATM,2,2.0,1.0,,,1.0,0.5
US.GILD,1,0.5,1,384859.0,384859.0,2026-05-09,ATM,2,1.0,0.5,,,,
US.GLD,1,0.5,1,89234938.0,89234938.0,2026-05-09,ATM,2,1.0,0.5,1.0,0.5,1.0,0.5
US.GLW,2,1.0,2,71631761.0,57372480.0,2026-05-09,ATM,2,2.0,1.0,2.0,1.0,2.0,1.0
US.GME,2,1.0,2,4098414.0,2382598.0,2026-05-08,ATM,2,2.0,1.0,1.0,0.5,2.0,1.0
US.GOOG,2,1.0,2,159123504.0,104518914.0,2026-05-08,ATM,2,2.0,1.0,2.0,1.0,2.0,1.0
US.GOOGL,2,1.0,2,434131191.0,341552168.0,2026-05-08,ATM,2,2.0,1.0,2.0,1.0,2.0,1.0
US.GPN,1,0.5,1,1980560.0,1980560.0,2026-05-09,ATM,2,1.0,0.5,,,,
US.GS,2,1.0,2,7767665.0,4316605.0,2026-05-08,DEEP_OTM,2,2.0,1.0,,,2.0,1.0
US.GWW,2,1.0,2,7013189.0,5121189.0,2026-05-08,DEEP_ITM,2,1.0,0.5,2.0,1.0,,
US.HAL,1,0.5,1,1004056.0,1004056.0,2026-05-09,DEEP_ITM,2,,,1.0,0.5,,
US.HD,2,1.0,2,23023566.0,18454580.0,2026-05-08,DEEP_ITM,2,1.0,0.5,1.0,0.5,,
US.HII,1,0.5,1,596959.0,596959.0,2026-05-08,ATM,2,1.0,0.5,,,,
US.HIMS,1,0.5,1,8489835.0,8489835.0,2026-05-09,ATM,2,1.0,0.5,1.0,0.5,,
US.HLIT,1,0.5,1,312975.0,312975.0,2026-05-09,ATM,2,1.0,0.5,,,,
US.HON,1,0.5,1,575938.0,575938.0,2026-05-08,ATM,2,1.0,0.5,,,,
US.HOOD,2,1.0,2,54425868.0,33411234.0,2026-05-08,DEEP_ITM,2,2.0,1.0,2.0,1.0,2.0,1.0
US.HPE,1,0.5,1,306826.0,306826.0,2026-05-09,ATM,2,1.0,0.5,,,,
US.HPQ,1,0.5,1,1008000.0,1008000.0,2026-05-09,ATM,2,1.0,0.5,,,,
US.HR,1,0.5,1,5774751.0,5774751.0,2026-05-09,DEEP_ITM,2,,,1.0,0.5,,
US.HSIC,1,0.5,1,494310.0,494310.0,2026-05-09,ATM,2,1.0,0.5,,,,
US.HST,1,0.5,1,679769.0,679769.0,2026-05-08,DEEP_OTM,2,,,,,1.0,0.5
US.HUM,1,0.5,1,1630329.0,1630329.0,2026-05-09,DEEP_ITM,2,,,1.0,0.5,1.0,0.5
US.HWM,1,0.5,1,5409772.0,5409772.0,2026-05-08,ATM,2,1.0,0.5,1.0,0.5,,
US.IBM,2,1.0,2,26197289.0,25340646.0,2026-05-08,DEEP_ITM,2,2.0,1.0,1.0,0.5,2.0,1.0
US.INSM,2,1.0,2,5160755.0,4506247.0,2026-05-08,DEEP_ITM,2,,,1.0,0.5,2.0,1.0
US.INTC,2,1.0,2,1045644202.0,795206506.0,2026-05-09,ATM,2,2.0,1.0,2.0,1.0,2.0,1.0
US.INTU,2,1.0,2,33330332.0,27889240.0,2026-05-08,DEEP_ITM,2,2.0,1.0,1.0,0.5,2.0,1.0
US.IRDM,1,0.5,1,318439.0,318439.0,2026-05-09,ATM,2,1.0,0.5,,,,
US.IRM,1,0.5,1,314112.0,314112.0,2026-05-09,DEEP_ITM,2,,,1.0,0.5,,
US.JBHT,1,0.5,1,1749450.0,1749450.0,2026-05-08,DEEP_ITM,2,,,1.0,0.5,,
US.JBL,2,1.0,2,15868797.0,13522317.0,2026-05-08,ATM,2,2.0,1.0,,,1.0,0.5
US.JCI,1,0.5,1,611378.0,611378.0,2026-05-08,DEEP_ITM,2,,,1.0,0.5,,
US.JD,2,1.0,2,2201011.0,1362197.0,2026-05-09,DEEP_OTM,2,1.0,0.5,,,2.0,1.0
US.JNJ,2,1.0,2,4125971.0,2927358.0,2026-05-09,ATM,2,2.0,1.0,1.0,0.5,,
US.JPM,2,1.0,2,17268172.0,11712263.0,2026-05-09,ATM,2,2.0,1.0,,,2.0,1.0
US.KBR,1,0.5,1,3300000.0,3300000.0,2026-05-09,DEEP_ITM,2,,,1.0,0.5,,
US.KEYS,1,0.5,1,507187.0,507187.0,2026-05-08,ATM,2,1.0,0.5,,,,
US.KKR,1,0.5,1,1522512.0,1522512.0,2026-05-09,ATM,2,1.0,0.5,,,,
US.KLAC,2,1.0,2,6626321.0,5311613.0,2026-05-09,ATM,2,2.0,1.0,,,,
US.KO,1,0.5,1,2636250.0,2636250.0,2026-05-09,ATM,2,1.0,0.5,1.0,0.5,,
US.KTOS,1,0.5,1,5174061.0,5174061.0,2026-05-08,DEEP_ITM,2,,,1.0,0.5,,
US.LEN,1,0.5,1,2276800.0,2276800.0,2026-05-08,DEEP_ITM,2,,,1.0,0.5,,
US.LFUS,1,0.5,1,370424.0,370424.0,2026-05-09,ATM,2,1.0,0.5,,,,
US.LITE,2,1.0,2,76013023.0,57959622.0,2026-05-08,DEEP_ITM,2,2.0,1.0,1.0,0.5,2.0,1.0
US.LLY,2,1.0,2,19352851.0,15912368.0,2026-05-08,DEEP_ITM,2,2.0,1.0,1.0,0.5,2.0,1.0
US.LRCX,2,1.0,2,20873620.0,12326373.0,2026-05-09,ATM,2,2.0,1.0,1.0,0.5,1.0,0.5
US.LTH,1,0.5,1,612859.0,612859.0,2026-05-09,ATM,2,1.0,0.5,,,,
US.LULU,1,0.5,1,9082220.0,9082220.0,2026-05-08,DEEP_ITM,2,,,1.0,0.5,,
US.LUV,1,0.5,1,665521.0,665521.0,2026-05-08,DEEP_OTM,2,,,,,1.0,0.5
US.LVS,1,0.5,1,337443.0,337443.0,2026-05-09,DEEP_ITM,2,,,1.0,0.5,,
US.LYB,1,0.5,1,945236.0,945236.0,2026-05-08,ATM,2,1.0,0.5,,,,
US.LYFT,1,0.5,1,1735570.0,1735570.0,2026-05-09,DEEP_OTM,2,1.0,0.5,,,1.0,0.5
US.MA,2,1.0,2,3890413.0,2984620.0,2026-05-08,DEEP_ITM,2,2.0,1.0,1.0,0.5,,
US.MARA,1,0.5,1,6069804.0,6069804.0,2026-05-09,ATM,2,1.0,0.5,1.0,0.5,1.0,0.5
US.MCD,2,1.0,2,27100648.0,17022452.0,2026-05-08,DEEP_ITM,2,2.0,1.0,2.0,1.0,,
US.MCHP,2,1.0,2,744328039.0,718453230.0,2026-05-09,DEEP_ITM,2,2.0,1.0,2.0,1.0,2.0,1.0
US.MCK,2,1.0,2,6137430.0,4574553.0,2026-05-08,ATM,2,2.0,1.0,,,,
US.MCY,1,0.5,1,722966.0,722966.0,2026-05-09,DEEP_ITM,2,,,1.0,0.5,,
US.MELI,1,0.5,1,4207250.0,4207250.0,2026-05-09,DEEP_OTM,2,1.0,0.5,,,1.0,0.5
US.META,2,1.0,2,418254301.0,291630106.0,2026-05-08,ATM,2,2.0,1.0,2.0,1.0,2.0,1.0
US.MGM,1,0.5,1,1380760.0,1380760.0,2026-05-08,ATM,2,1.0,0.5,,,,
US.MKSI,1,0.5,1,1662160.0,1662160.0,2026-05-08,DEEP_ITM,2,1.0,0.5,1.0,0.5,,
US.MNST,1,0.5,1,1409121.0,1409121.0,2026-05-09,DEEP_ITM,2,1.0,0.5,1.0,0.5,,
US.MOH,1,0.5,1,793833.0,793833.0,2026-05-09,ATM,2,1.0,0.5,,,,
US.MP,2,1.0,2,10681834.0,7947897.0,2026-05-09,DEEP_OTM,2,2.0,1.0,1.0,0.5,2.0,1.0
US.MPC,1,0.5,1,2493690.0,2493690.0,2026-05-09,DEEP_ITM,2,1.0,0.5,1.0,0.5,,
US.MRK,1,0.5,1,717878.0,717878.0,2026-05-09,DEEP_ITM,2,1.0,0.5,1.0,0.5,,
US.MRNA,2,1.0,2,53119034.0,28601147.0,2026-05-09,ATM,2,2.0,1.0,1.0,0.5,2.0,1.0
US.MRVL,2,1.0,2,66080533.0,38923646.0,2026-05-09,ATM,2,2.0,1.0,2.0,1.0,2.0,1.0
US.MS,1,0.5,1,356047.0,356047.0,2026-05-09,DEEP_OTM,2,,,,,1.0,0.5
US.MSFT,2,1.0,2,588585481.0,459336414.0,2026-05-08,ATM,2,2.0,1.0,2.0,1.0,2.0,1.0
US.MSTR,2,1.0,2,208918406.0,127809957.0,2026-05-09,ATM,2,2.0,1.0,2.0,1.0,2.0,1.0
US.MTSI,2,1.0,2,16596595.0,9089962.0,2026-05-08,DEEP_ITM,2,1.0,0.5,2.0,1.0,,
US.MU,2,1.0,2,2573673314.0,1709934710.0,2026-05-09,ATM,2,2.0,1.0,2.0,1.0,2.0,1.0
US.MXL,1,0.5,1,24655110.0,24655110.0,2026-05-09,DEEP_OTM,2,1.0,0.5,1.0,0.5,1.0,0.5
US.NEM,1,0.5,1,4438185.0,4438185.0,2026-05-08,ATM,2,1.0,0.5,,,,
US.NFLX,2,1.0,2,103482528.0,79073837.0,2026-05-08,DEEP_ITM,2,2.0,1.0,2.0,1.0,2.0,1.0
US.NIO,1,0.5,1,430332.0,430332.0,2026-05-09,DEEP_ITM,2,,,1.0,0.5,,
US.NKE,2,1.0,2,4693658.0,3361108.0,2026-05-08,DEEP_ITM,2,2.0,1.0,2.0,1.0,,
US.NOC,1,0.5,1,1650426.0,1650426.0,2026-05-08,DEEP_ITM,2,,,1.0,0.5,,
US.NOW,2,1.0,2,101831455.0,90856144.0,2026-05-08,DEEP_ITM,2,2.0,1.0,2.0,1.0,2.0,1.0
US.NRG,1,0.5,1,405837.0,405837.0,2026-05-09,ATM,2,1.0,0.5,,,,
US.NSIT,1,0.5,1,4255826.0,4255826.0,2026-05-09,DEEP_ITM,2,1.0,0.5,1.0,0.5,,
US.NTNX,1,0.5,1,605828.0,605828.0,2026-05-08,DEEP_OTM,2,,,,,1.0,0.5
US.NUE,1,0.5,1,570697.0,570697.0,2026-05-09,ATM,2,1.0,0.5,,,,
US.NVDA,2,1.0,2,2201141582.0,1309675221.0,2026-05-08,ATM,2,2.0,1.0,2.0,1.0,2.0,1.0
US.NVT,1,0.5,1,1064402.0,1064402.0,2026-05-08,DEEP_OTM,2,,,,,1.0,0.5
US.NXPI,1,0.5,1,720950.0,720950.0,2026-05-09,ATM,2,1.0,0.5,,,,
US.NYT,1,0.5,1,900625.0,900625.0,2026-05-08,ATM,2,1.0,0.5,,,,
US.OKTA,2,1.0,2,5883732.0,4793657.0,2026-05-08,ATM,2,2.0,1.0,,,1.0,0.5
US.ON,2,1.0,2,6019727.0,3311198.0,2026-05-08,DEEP_OTM,2,2.0,1.0,1.0,0.5,2.0,1.0
US.ONTO,1,0.5,1,1717598.0,1717598.0,2026-05-09,ATM,2,1.0,0.5,,,,
US.ORCL,2,1.0,2,299586768.0,204796680.0,2026-05-08,ATM,2,2.0,1.0,2.0,1.0,2.0,1.0
US.OSK,1,0.5,1,351665.0,351665.0,2026-05-09,ATM,2,1.0,0.5,,,,
US.PANW,2,1.0,2,55261435.0,31103292.0,2026-05-08,ATM,2,2.0,1.0,2.0,1.0,2.0,1.0
US.PATH,1,0.5,1,821326.0,821326.0,2026-05-09,ATM,2,1.0,0.5,,,,
US.PDD,1,0.5,1,1013626.0,1013626.0,2026-05-09,ATM,2,1.0,0.5,,,,
US.PENG,1,0.5,1,2906866.0,2906866.0,2026-05-09,DEEP_ITM,2,1.0,0.5,1.0,0.5,1.0,0.5
US.PEP,1,0.5,1,737996.0,737996.0,2026-05-09,DEEP_OTM,2,,,,,1.0,0.5
US.PFE,2,1.0,2,37010395.0,36192769.0,2026-05-08,DEEP_ITM,2,2.0,1.0,1.0,0.5,,
US.PFGC,1,0.5,1,1429630.0,1429630.0,2026-05-09,ATM,2,1.0,0.5,,,1.0,0.5
US.PG,1,0.5,1,758270.0,758270.0,2026-05-08,DEEP_ITM,2,,,1.0,0.5,,
US.PH,1,0.5,1,452120.0,452120.0,2026-05-09,DEEP_OTM,2,,,,,1.0,0.5
US.PINS,1,0.5,1,1767222.0,1767222.0,2026-05-08,ATM,2,1.0,0.5,,,,
US.PLNT,1,0.5,1,1006450.0,1006450.0,2026-05-08,DEEP_OTM,2,,,,,1.0,0.5
US.PLTR,2,1.0,2,191207164.0,113971096.0,2026-05-08,ATM,2,2.0,1.0,2.0,1.0,2.0,1.0
US.PM,1,0.5,1,372130.0,372130.0,2026-05-09,DEEP_OTM,2,,,,,1.0,0.5
US.PNR,1,0.5,1,2000000.0,2000000.0,2026-05-08,DEEP_ITM,2,,,1.0,0.5,,
US.PPG,1,0.5,1,960375.0,960375.0,2026-05-09,DEEP_ITM,2,,,1.0,0.5,,
US.PRKS,1,0.5,1,603760.0,603760.0,2026-05-09,ATM,2,1.0,0.5,,,,
